0.topic, 1.topic, 2.topic, 3.topic, 4.topic, 5.topic, 6.topic, 7.topic, 8.topic, 9.topic, 10.topic, 11.topic, 12.topic, 13.topic, 14.topic, class
0.034999999999999996,0.076,0.007,0.002,0,0,0.001,0.008,0.011,0,0.025,0.107,0.028,0.001,0.005,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.115,0.004,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.006,0.005,0.004,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0,0.02,0.003,0,0,0.003,0.014,0.005,0,0,0,0.007,0.024,0,0,kizgin
0.018000000000000002,0.058,0.016,0.066,0,0,0.002,0.008,0.01,0,0.005,0.017,0.005,0,0.005,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.005,0,0.006,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0.004,0,0,kizgin
0,0.02,0.03,0.013,0,0.003,0.014,0.005,0,0,0,0.007,0.02,0,0,kizgin
0,0.002,0,0,0,0,0,0.019,0,0,0.112,0,0.023,0,0,kizgin
0.022,0,0.053,0.011,0,0.01,0.095,0,0.003,0,0,0.004,0.006,0,0,kizgin
0.026,0.029,0.012,0.013,0,0.011,0,0,0,0,0,0.013,0.006,0.001,0,kizgin
0.008,0.029,0.012,0.004,0,0.013999999999999999,0.002,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.02,0.003,0,0.009,0,0,0,0,0,0,0,0.008,0,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.001,0.002,0.003,0,0,0,0,0.019,0,0,0.112,0,0.003,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.017,0.058,0.007,0.002,0.001,0,0.001,0.008,0.01,0,0.004,0.019,0.005,0,0.005,kizgin
0.019,0.059000000000000004,0.061,0.037,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0,0,0.003,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.007,0.01,0.037,0.017,0.001,0.057,0,0,0,0,0.023,0.014,0,0,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0.026,0,0,0,0,0,kizgin
0.007,0.062,0.014,0.004,0,0.011,0.019,0,0.004,0.001,0.001,0.009,0.006,0.001,0.006,kizgin
0.007,0.062,0.014,0.004,0,0.011,0.014,0,0.004,0.001,0.001,0.009,0.006,0.001,0.006,kizgin
0.008,0.01,0.026,0.042,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.013,0.01,0.002,0.16999999999999998,0,0.002,0.013999999999999999,0.09,0.001,0,0.004,0.006,0,0.002,0,kizgin
0,0,0.033,0.013,0.004,0,0.003,0,0,0,0,0,0,0,0,kizgin
0.001,0,0,0,0,0,0,0.153,0,0.004,0.008,0,0,0,0,kizgin
0.003,0.004,0.012,0,0.004,0.01,0.098,0,0.007,0,0,0,0.006,0.011,0,kizgin
0.022000000000000002,0.07300000000000001,0.011,0.003,0.005,0,0.001,0.009000000000000001,0.01,0,0.008,0.068,0.005,0.116,0.005,kizgin
0.002,0.022,0.007,0,0,0.003,0.014,0.005,0,0,0,0.007,0.02,0,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.022000000000000002,0.07700000000000001,0.007,0.003,0,0,0.001,0.008,0.01,0,0.004,0.064,0.005,0,0.005,kizgin
0.027000000000000003,0.031,0.013,0.208,0.004,0.061000000000000006,0.024999999999999998,0.177,0.002,0,0.029000000000000005,0.02,0,0.004,0,kizgin
0.022000000000000002,0.07300000000000001,0.007,0.003,0,0,0.001,0.008,0.01,0,0.004,0.058,0.005,0,0.005,kizgin
0.015,0.005,0,0.001,0,0,0,0,0.001,0,0,0.14700000000000002,0.023,0.001,0,kizgin
0.009000000000000001,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
